Distance;Altitude;Easting;Northing;Longitude;Latitude
3315.6;3635.5;2619620.11;1141433.84;7.693868;46.423968
3348.5;3598.2;2619595.77;1141411.71;7.693551;46.42377
3381.4;3567.4;2619571.43;1141389.58;7.693233;46.423571
3414.3;3541.9;2619547.08;1141367.45;7.692916;46.423373
3447.2;3518.4;2619522.74;1141345.32;7.692598;46.423175
3480.1;3498.4;2619498.4;1141323.19;7.69228;46.422976
3513;3488.6;2619474.05;1141301.06;7.691963;46.422778
3545.9;3472.6;2619449.71;1141278.93;7.691645;46.422579
3578.8;3442.2;2619425.37;1141256.8;7.691328;46.422381
3611.7;3412.1;2619401.02;1141234.67;7.69101;46.422183
3644.6;3390.4;2619376.68;1141212.54;7.690693;46.421984
3677.5;3379.5;2619352.34;1141190.41;7.690375;46.421786
3710.4;3395.3;2619327.99;1141168.28;7.690057;46.421588
3743.3;3406.5;2619295.84;1141175.27;7.68964;46.421651
3776.2;3436.1;2619263.7;1141182.25;7.689222;46.421715
3809.1;3443.7;2619231.55;1141189.24;7.688804;46.421779
3842;3464;2619199.4;1141196.23;7.688386;46.421843
3874.9;3484.1;2619167.25;1141203.22;7.687968;46.421907
3907.8;3487.1;2619135.11;1141210.21;7.68755;46.42197
3940.7;3476.5;2619102.96;1141217.2;7.687132;46.422034
3973.6;3461.7;2619070.81;1141224.19;7.686714;46.422098
4006.5;3438.9;2619038.66;1141231.17;7.686296;46.422162
4039.4;3413.1;2619006.52;1141238.16;7.685879;46.422225
4072.3;3387.5;2618974.37;1141245.15;7.685461;46.422289
4105.2;3360.7;2618942.22;1141252.14;7.685043;46.422353
4138.1;3334.5;2618910.07;1141259.13;7.684625;46.422417
4171;3306.4;2618877.93;1141266.12;7.684207;46.42248
4203.9;3261.3;2618845.78;1141273.11;7.683789;46.422544
4236.8;3234.9;2618813.63;1141280.09;7.683371;46.422608
4269.7;3211.6;2618781.48;1141287.08;7.682953;46.422672
4302.6;3189.3;2618749.34;1141294.07;7.682535;46.422736
4335.5;3167.3;2618717.19;1141301.06;7.682118;46.422799
4368.4;3148.4;2618685.04;1141308.05;7.6817;46.422863
4401.3;3134;2618652.89;1141315.04;7.681282;46.422927
4434.2;3122.2;2618620.75;1141322.03;7.680864;46.422991
4467;3109.1;2618588.6;1141329.01;7.680446;46.423054
4499.9;3097.4;2618556.45;1141336;7.680028;46.423118
4532.8;3088.6;2618524.3;1141342.99;7.67961;46.423182
4565.7;3084.8;2618492.16;1141349.98;7.679192;46.423246
4598.6;3081.2;2618460.01;1141356.97;7.678774;46.423309
4631.5;3075.7;2618427.86;1141363.96;7.678356;46.423373
4664.4;3075.4;2618395.71;1141370.95;7.677939;46.423437
4697.3;3075.2;2618363.57;1141377.93;7.677521;46.423501
4730.2;3084.9;2618331.42;1141384.92;7.677103;46.423564
4763.1;3081.1;2618299.27;1141391.91;7.676685;46.423628
4796;3081.4;2618267.12;1141398.9;7.676267;46.423692
4828.9;3082.4;2618234.98;1141405.89;7.675849;46.423756
4861.8;3090;2618202.83;1141412.88;7.675431;46.423819
4894.7;3103.1;2618170.68;1141419.87;7.675013;46.423883
4927.6;3117.9;2618138.53;1141426.85;7.674595;46.423947
4960.5;3142.7;2618106.39;1141433.84;7.674177;46.42401
4992.5;3168.9;2618105.82;1141465.77;7.674171;46.424298
5024.4;3195.1;2618105.26;1141497.69;7.674165;46.424585
5056.3;3198.8;2618104.69;1141529.62;7.674159;46.424872
5088.2;3193.6;2618104.13;1141561.54;7.674153;46.425159
5120.2;3197.2;2618103.56;1141593.47;7.674147;46.425446
5152.1;3197.1;2618103;1141625.39;7.674141;46.425734
5184;3203.2;2618102.43;1141657.31;7.674135;46.426021
5216;3201.5;2618101.87;1141689.24;7.674129;46.426308
5247.9;3195.8;2618101.3;1141721.16;7.674122;46.426595
5279.8;3192.1;2618100.74;1141753.09;7.674116;46.426882
5311.7;3185.4;2618100.17;1141785.01;7.67411;46.42717
5343.7;3190.7;2618099.61;1141816.94;7.674104;46.427457
5375.6;3255.4;2618099.04;1141848.86;7.674098;46.427744
5407.5;3284.7;2618098.48;1141880.79;7.674092;46.428031
5439.5;3317.8;2618097.91;1141912.71;7.674086;46.428318
5471.4;3353.4;2618097.35;1141944.63;7.67408;46.428606
5503.3;3366;2618096.78;1141976.56;7.674074;46.428893
5535.3;3404.6;2618096.22;1142008.48;7.674067;46.42918
5567.2;3441;2618095.65;1142040.41;7.674061;46.429467
5599.1;3425.3;2618095.09;1142072.33;7.674055;46.429754
5631;3407.2;2618094.52;1142104.26;7.674049;46.430042
